num_merges,coverage,compression_ratio,accuracy
1,0.30548885077186966,1.0090404840801037,0.00015708451146716933
2,0.30548885077186966,1.0141543585288155,0.00015708451146716933
4,0.34056603773584904,1.02326685660019,0.030003141690229343
8,0.3467409948542024,1.0440502366489024,0.030003141690229343
16,0.37101200686106345,1.0734539045137559,0.03612943763744895
32,0.41080617495711835,1.1280905210598373,0.07759974866478166
64,0.49914236706689535,1.1997344867457496,0.15001570845114673
128,0.581303602058319,1.3230849154623594,0.2086082312284009
256,0.6673241852487135,1.4563838635891038,0.3039585296889727
512,0.7042881646655231,1.5553519875638464,0.3452717562048382
